"file_path","dance","start_frame","start_grid_cell","start_x","start_y","end_frame","end_x","end_y","type","path_type","clearness","angle","_datetime","_run_time","_lon","_lat","st_astext"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",139,29749,"C3",1227,782,29798,1168,780,"linear","linear","clear",270,"2022-06-21 12:57:30.816667","0.8167","-0.6856787099248355","46.15559302522417","POINT(-0.685678709924836 46.15559302522417)"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",139,29876,"C3",1193,772,29917,1176,774,"linear","linear","clear",305,"2022-06-21 12:57:32.933333","0.6833","-0.6855767609205881","46.153947911874134","POINT(-0.685576760920588 46.153947911874134)"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",139,30003,"C3",1201,776,30047,1171,763,"linear","linear","clear",314,"2022-06-21 12:57:35.05","0.7333","-0.6853533882997562","46.153548047808485","POINT(-0.685353388299756 46.153548047808485)"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",139,30134,"C3",1215,803,30187,1192,766,"linear","linear","clear",334,"2022-06-21 12:57:37.233333","0.8833","-0.6850878657781527","46.15245321221793","POINT(-0.685087865778153 46.15245321221793)"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",139,30257,"C3",1229,785,30310,1177,798,"non-linear","linear","clear",254,"2022-06-21 12:57:39.283333","0.8833","-0.6862779132386505","46.15634489831129","POINT(-0.68627791323865 46.15634489831129)"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",139,30409,"C3",1202,829,30451,1180,806,"linear","linear","clear",313,"2022-06-21 12:57:41.816667","0.7000","-0.685511983495485","46.153606828514164","POINT(-0.685511983495485 46.153606828514164)"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",138,35628,"D4",1417,946,35687,1380,941,"linear","linear","clear",270,"2022-06-21 12:59:08.8","0.9833","-0.6850083960561926","46.155931436239065","POINT(-0.685008396056193 46.155931436239065)"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",1,30021,"B2",567,537,30049,530,534,"stopped","linear","stopped",292,"2022-06-21 12:57:35.35","0.4667","-0.6867336105082138","46.154302290037634","POINT(-0.686733610508214 46.154302290037634)"
"nap-mag12552202/2022-6-21/Record_2022-6-21_12-49-15_csi0.mp4",25,16493,"C3",993,735,16518,975,719,"linear","linear","clear",0,"2022-06-21 12:53:49.883333","0.4167","-0.6877206150712057","46.152750629056115","POINT(-0.687720615071206 46.152750629056115)"
"nap-mag12552202/2023-6-27/Record_2023-6-27_15-10-23_csi0.mp4",8,24215,"C5",1078,400,24244,1093,395,"linear","linear","clear",75,"2023-06-27 15:17:06.583333","0.4833","-0.691259953845619","46.154567036957964","POINT(-0.691259953845619 46.154567036957964)"
