epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3543,4.0866,7.39503,2.47816,0.35998,0.13851,0.07776,0.04106,4.00176,7.52377,2.31379,0.000405983,0.000405983,0.000405983
2,61.3509,3.7811,3.83683,2.45285,0.10881,0.04467,0.0294,0.01444,4.83806,6.40185,3.1353,0.000806361,0.000806361,0.000806361
3,92.3533,4.05106,3.76691,2.49793,0,0,0,0,nan,nan,nan,0.00119024,0.00119024,0.00119024
4,124.179,3.92627,3.47528,2.48367,0.07461,0.0899,0.03647,0.01575,4.89778,7.06074,2.69981,0.00117575,0.00117575,0.00117575
5,156.542,3.87176,3.45212,2.4757,0.35891,0.1793,0.09828,0.04381,4.11511,12.6676,2.39105,0.001151,0.001151,0.001151
6,190.371,3.79039,3.22137,2.39834,0.82963,0.07954,0.07935,0.03331,4.37208,13.5782,2.4203,0.00112625,0.00112625,0.00112625
7,221.387,3.76326,3.18285,2.37676,0.43446,0.27628,0.22973,0.12929,4.15759,3.58855,2.30422,0.0011015,0.0011015,0.0011015
8,254.998,3.81058,3.10236,2.42177,0.15183,0.33255,0.21901,0.0963,4.08278,5.82106,2.3068,0.00107675,0.00107675,0.00107675
9,286.479,3.66105,2.83445,2.29329,0.41098,0.21526,0.15648,0.079,3.87823,3.03255,2.24366,0.001052,0.001052,0.001052
10,317.847,3.45003,2.7532,2.29803,0.60484,0.1739,0.11896,0.05377,4.2115,6.82419,2.2971,0.00102725,0.00102725,0.00102725
11,348.899,3.45809,2.57367,2.26448,0.64339,0.1949,0.15486,0.06978,4.00964,4.35895,2.25194,0.0010025,0.0010025,0.0010025
12,380.353,3.56406,2.64456,2.27452,0.63593,0.21696,0.18589,0.09355,3.68465,3.11868,2.1482,0.00097775,0.00097775,0.00097775
13,412.68,3.2928,2.51079,2.24427,0.26348,0.30985,0.23524,0.12217,3.46677,2.42436,2.08363,0.000953,0.000953,0.000953
14,444.699,3.46908,2.55909,2.21549,0.67211,0.25045,0.2098,0.10677,3.55047,2.49358,2.1042,0.00092825,0.00092825,0.00092825
15,475.992,3.34872,2.45449,2.19608,0.4092,0.25101,0.17746,0.0943,3.68006,2.91686,2.13277,0.0009035,0.0009035,0.0009035
16,507.128,3.1963,2.34907,2.19443,0.57669,0.25634,0.26949,0.14134,3.62937,2.76281,2.096,0.00087875,0.00087875,0.00087875
17,541.622,3.20567,2.21009,2.11669,0.48617,0.33152,0.23692,0.1215,3.79017,2.7825,2.16681,0.000854,0.000854,0.000854
18,572.943,3.18265,2.34045,2.19128,0.45424,0.2991,0.24563,0.13504,3.50923,2.60542,2.05682,0.00082925,0.00082925,0.00082925
19,603.764,3.12959,2.23741,2.1275,0.41505,0.25654,0.23768,0.12635,3.30295,2.72432,2.02443,0.0008045,0.0008045,0.0008045
20,635.546,3.0654,2.21926,2.1329,0.49997,0.35285,0.28651,0.16613,3.47267,2.32444,2.07038,0.00077975,0.00077975,0.00077975
21,670.119,3.24394,2.37244,2.1598,0.51379,0.34494,0.26801,0.15235,3.28246,2.30682,2.04332,0.000755,0.000755,0.000755
22,700.732,3.01361,2.10284,2.07466,0.55996,0.27266,0.28298,0.15568,3.19537,2.41562,1.99022,0.00073025,0.00073025,0.00073025
23,732.89,3.05762,2.13169,2.05572,0.46333,0.26436,0.25625,0.14065,3.28134,2.29053,2.00122,0.0007055,0.0007055,0.0007055
24,764.402,3.05729,1.98039,2.06134,0.46308,0.238,0.22943,0.12081,3.35971,2.35195,1.99763,0.00068075,0.00068075,0.00068075
25,795.678,3.04424,2.00583,2.0703,0.63989,0.25035,0.27531,0.15901,3.49616,2.97486,2.03702,0.000656,0.000656,0.000656
26,826.235,2.90966,2.04812,2.01818,0.22154,0.21608,0.20504,0.10733,3.71355,2.77041,2.08436,0.00063125,0.00063125,0.00063125
27,858.371,3.03671,2.08342,2.04925,0.33161,0.26368,0.26328,0.14394,3.33202,2.24956,2.02042,0.0006065,0.0006065,0.0006065
28,888.441,2.89211,1.84932,2.00723,0.61299,0.26017,0.2872,0.16507,3.50874,2.39452,2.05282,0.00058175,0.00058175,0.00058175
29,919.514,2.83379,1.83477,2.00135,0.25103,0.28893,0.29278,0.15612,3.40911,2.11288,2.02542,0.000557,0.000557,0.000557
30,951.239,2.82634,1.886,2.04036,0.39518,0.33835,0.28464,0.16026,3.32175,1.98523,2.00543,0.00053225,0.00053225,0.00053225
31,983.332,2.7523,1.83682,1.99875,0.49284,0.32085,0.3128,0.18477,3.2184,2.03638,1.98353,0.0005075,0.0005075,0.0005075
32,1016.78,2.78838,1.83512,1.97799,0.30977,0.43313,0.30888,0.17474,3.15801,1.84139,1.96346,0.00048275,0.00048275,0.00048275
33,1048.16,2.92755,1.80147,1.98171,0.4204,0.3786,0.36806,0.18924,3.14412,1.87801,1.96159,0.000458,0.000458,0.000458
34,1081.7,2.75679,1.76246,1.97365,0.4602,0.3028,0.34893,0.18225,3.0811,1.90604,1.93691,0.00043325,0.00043325,0.00043325
35,1112.64,2.6425,1.69555,1.95712,0.34776,0.38179,0.30302,0.1782,3.17231,1.96833,1.94082,0.0004085,0.0004085,0.0004085
36,1143.51,2.69529,1.64573,1.9936,0.46244,0.348,0.33137,0.1937,2.98,1.77062,1.93249,0.00038375,0.00038375,0.00038375
37,1176.99,2.69884,1.69792,1.94881,0.50733,0.43467,0.38776,0.22805,3.01829,1.79422,1.9262,0.000359,0.000359,0.000359
38,1210.95,2.65792,1.64978,1.94745,0.43645,0.45337,0.38941,0.2289,3.04447,1.78649,1.93287,0.00033425,0.00033425,0.00033425
39,1245.11,2.64709,1.62679,1.93908,0.43981,0.30617,0.33745,0.19462,2.99991,1.762,1.92021,0.0003095,0.0003095,0.0003095
40,1276.49,2.53742,1.56963,1.92118,0.40435,0.3871,0.34745,0.21013,3.03102,1.76719,1.92933,0.00028475,0.00028475,0.00028475
