epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0464,2.68066,1.8251,1.93013,0.41553,0.39512,0.40796,0.2698,3.03703,1.97451,1.92757,0.000405983,0.000405983,0.000405983
2,64.1924,2.90472,1.9723,1.99234,0.44567,0.34806,0.28193,0.15331,3.21873,2.92171,1.99458,0.000806361,0.000806361,0.000806361
3,94.8217,2.87003,1.97372,2.02794,0.29461,0.25783,0.29025,0.16735,3.25664,2.35341,2.04351,0.00119024,0.00119024,0.00119024
4,125.98,3.00224,2.12461,2.06554,0.2791,0.35936,0.28493,0.14721,3.36065,2.19529,2.0327,0.00117575,0.00117575,0.00117575
5,156.974,2.89866,1.9451,1.98993,0.47515,0.26902,0.2841,0.15214,3.31288,2.31183,2.03577,0.001151,0.001151,0.001151
6,189.123,3.02801,1.92829,2.00188,0.29345,0.34324,0.27055,0.15747,3.38156,2.57806,2.06637,0.00112625,0.00112625,0.00112625
7,220.867,3.1792,2.06579,2.09657,0.48307,0.20272,0.23441,0.12826,3.52247,5.70835,2.07144,0.0011015,0.0011015,0.0011015
8,252.355,3.08768,1.99419,2.07079,0.56377,0.2555,0.30967,0.18361,3.36962,3.12599,2.04121,0.00107675,0.00107675,0.00107675
9,283.404,2.94752,1.96566,2.05085,0.49744,0.25546,0.33082,0.19548,3.41171,2.22496,2.01933,0.001052,0.001052,0.001052
10,315.331,2.96529,1.88964,2.0316,0.48993,0.26434,0.28319,0.15486,3.47306,2.21931,2.03966,0.00102725,0.00102725,0.00102725
11,346.479,2.87292,1.83669,2.03552,0.4726,0.31503,0.31682,0.18348,3.25056,1.97943,2.03431,0.0010025,0.0010025,0.0010025
12,377.835,2.92112,1.87892,2.00099,0.28912,0.42356,0.31671,0.18096,3.17601,1.98288,1.97066,0.00097775,0.00097775,0.00097775
13,409.815,2.94554,1.84035,2.02057,0.28821,0.39098,0.29543,0.15832,3.251,2.07587,1.98605,0.000953,0.000953,0.000953
14,442.081,2.81344,1.70687,1.94875,0.32034,0.38274,0.32009,0.18755,3.17654,2.05896,1.9584,0.00092825,0.00092825,0.00092825
15,473.522,2.76228,1.82217,1.9958,0.50494,0.31105,0.3251,0.18672,3.16663,1.91533,1.97708,0.0009035,0.0009035,0.0009035
16,504.7,2.79316,1.7863,1.99559,0.60049,0.34017,0.34978,0.20745,3.10843,2.02324,1.97451,0.00087875,0.00087875,0.00087875
17,536.48,2.65524,1.63547,1.95105,0.54999,0.32921,0.31575,0.17284,3.37862,2.43563,2.01755,0.000854,0.000854,0.000854
18,567.685,2.8141,1.72287,1.98617,0.64244,0.32087,0.35311,0.20998,3.23735,2.05715,1.99949,0.00082925,0.00082925,0.00082925
19,598.953,2.63342,1.66366,1.95371,0.52194,0.39969,0.36918,0.21329,3.16398,1.98378,1.96918,0.0008045,0.0008045,0.0008045
20,630.049,2.75594,1.71938,1.97052,0.5993,0.32095,0.34928,0.20408,3.15842,1.97718,1.96067,0.00077975,0.00077975,0.00077975
21,662.218,2.76607,1.61883,1.94089,0.49907,0.4508,0.44645,0.28075,3.01973,1.70184,1.93655,0.000755,0.000755,0.000755
22,696.101,2.66232,1.62483,1.95594,0.61848,0.31344,0.38582,0.22978,3.08206,1.97617,1.94175,0.00073025,0.00073025,0.00073025
23,726.807,2.70758,1.6597,1.9546,0.60719,0.33871,0.35273,0.20149,3.20037,2.08891,1.99013,0.0007055,0.0007055,0.0007055
24,758.373,2.88383,1.68639,1.93699,0.47092,0.42592,0.42425,0.26293,3.0652,1.7437,1.94754,0.00068075,0.00068075,0.00068075
25,789.921,2.59665,1.53813,1.90913,0.41794,0.38642,0.36813,0.219,3.0713,1.91437,1.93825,0.000656,0.000656,0.000656
26,821.89,2.67942,1.52972,1.92048,0.46259,0.49765,0.42349,0.24342,3.01469,1.73771,1.92956,0.00063125,0.00063125,0.00063125
27,853.097,2.71907,1.56024,1.92571,0.64907,0.40268,0.42673,0.23786,3.06949,1.73043,1.93912,0.0006065,0.0006065,0.0006065
28,885.217,2.64747,1.5228,1.90901,0.67862,0.43848,0.50501,0.31342,3.00593,1.72826,1.92824,0.00058175,0.00058175,0.00058175
29,918.822,2.5489,1.52032,1.94005,0.8759,0.27709,0.48624,0.30203,2.96409,1.74806,1.9191,0.000557,0.000557,0.000557
30,950.011,2.64722,1.51486,1.89641,0.466,0.452,0.34942,0.20163,3.07474,2.02202,1.93916,0.00053225,0.00053225,0.00053225
31,981.159,2.5386,1.45929,1.89648,0.4456,0.51916,0.4478,0.27622,2.97357,1.68213,1.92368,0.0005075,0.0005075,0.0005075
32,1014.06,2.5792,1.46901,1.88527,0.45837,0.32094,0.37266,0.22502,2.96252,1.72716,1.92982,0.00048275,0.00048275,0.00048275
33,1045.92,2.58604,1.48988,1.89645,0.48665,0.5605,0.44211,0.25657,2.93573,1.63882,1.92813,0.000458,0.000458,0.000458
34,1077.47,2.57348,1.44921,1.89047,0.62717,0.45583,0.5111,0.31708,2.99747,1.70109,1.92863,0.00043325,0.00043325,0.00043325
35,1111.32,2.42807,1.37903,1.88396,0.5773,0.48843,0.44828,0.26148,3.11557,1.77813,1.95044,0.0004085,0.0004085,0.0004085
36,1142.65,2.42912,1.31597,1.86196,0.4068,0.5283,0.40229,0.23315,3.00023,1.7091,1.92669,0.00038375,0.00038375,0.00038375
37,1173.48,2.51536,1.35732,1.85829,0.46032,0.43282,0.41033,0.24671,2.99961,1.77226,1.9355,0.000359,0.000359,0.000359
38,1204.93,2.49658,1.38396,1.886,0.48041,0.45047,0.43101,0.25797,2.96598,1.61024,1.92089,0.00033425,0.00033425,0.00033425
39,1236.02,2.38901,1.33907,1.85501,0.47989,0.51997,0.49463,0.30624,3.02339,1.6797,1.92989,0.0003095,0.0003095,0.0003095
40,1267.23,2.43016,1.29533,1.84717,0.51863,0.43588,0.48738,0.31515,2.90542,1.64485,1.895,0.00028475,0.00028475,0.00028475
41,1300.39,2.30129,1.24263,1.81279,0.47041,0.5533,0.446,0.27063,2.91442,1.62852,1.91714,0.00026,0.00026,0.00026
42,1332.15,2.32013,1.26067,1.82811,0.64704,0.3581,0.42155,0.26229,3.12271,1.72696,1.96321,0.00023525,0.00023525,0.00023525
